Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.07,0.83,0.01,22.0,17.0,760.0,16.0
0.57,0.38,0.01,25.0,19.0,2058.0,19.0
0.24,0.65,0.06,7.0,5.0,2353.0,17.0
0.05,0.89,0.01,9.0,11.0,2333.0,4.0
0.18,0.7,0.04,3.0,0.0,3955.0,15.0
0.18,0.74,0.04,11.0,7.0,1937.0,25.0
0.2,0.67,0.06,12.0,6.0,2240.0,27.0
0.13,0.84,0.01,14.0,6.0,2131.0,8.0
0.14,0.82,0.01,7.0,3.0,755.0,13.0
0.1,0.85,0.0,7.0,11.0,828.0,7.0
0.2,0.76,0.01,12.0,12.0,575.0,22.0
0.52,0.45,0.01,26.0,8.0,1746.0,21.0
0.11,0.83,0.0,21.0,26.0,217.0,10.0
0.07,0.89,0.0,9.0,12.0,197.0,18.0
0.15,0.77,0.01,11.0,9.0,234.0,6.0
0.07,0.86,0.01,9.0,9.0,391.0,10.0
0.12,0.85,0.0,12.0,26.0,1386.0,12.0
0.62,0.3,0.05,7.0,10.0,1547.0,32.0
0.01,0.88,0.04,11.0,4.0,242.0,4.0
0.09,0.83,0.02,7.0,3.0,2409.0,3.0
0.31,0.66,0.0,13.0,0.0,1526.0,23.0
0.14,0.73,0.06,9.0,0.0,1754.0,12.0
0.2,0.72,0.01,8.0,9.0,1335.0,7.0
0.17,0.78,0.0,7.0,8.0,3028.0,9.0
0.02,0.84,0.08,10.0,8.0,1811.0,16.0
0.02,0.89,0.07,7.0,8.0,3122.0,16.0
0.03,0.83,0.12,4.0,7.0,3611.0,16.0
0.03,0.8,0.13,16.0,4.0,4334.0,18.0
0.03,0.83,0.1,5.0,1.0,2413.0,5.0
0.01,0.87,0.06,14.0,3.0,2970.0,8.0
0.07,0.84,0.0,9.0,14.0,2520.0,12.0
